 framenumber,eulers.phi, eulers.theta, eulers.psi, euler_rates.phi_dot, euler_rates.theta_dot, euler_rates.psi_dot, rates.X, rates.Y, rates.Z, accels.X, accels.Y, accels.Z,sin
858,-0.0405968,-0.129402,0.269561,0.0425743,0.0111013,0.020009,0.0451563,0.0102869,0.020276,0.0919332,-0.0268216,0.981107,-0.890570172
859,-0.040173,-0.129352,0.269758,0.0421339,0.00495365,0.0196203,0.0446647,0.00416824,0.0196397,0.0913932,-0.0196742,0.964155,-0.897701039
860,-0.0397602,-0.129158,0.26996,0.0408224,0.01912,0.0199693,0.0433944,0.0183177,0.0205473,0.0940333,-0.0182687,0.970026,-0.904604205
861,-0.0393305,-0.129061,0.270175,0.0431394,0.00977307,0.021534,0.0459109,0.00892583,0.0217226,0.10162,-0.0233193,0.957094,-0.911277918
862,-0.0388707,-0.129021,0.270421,0.0456994,0.003982,0.0244837,0.0488495,0.00303544,0.0244166,0.0904648,-0.0268951,0.950076,-0.917720487
863,-0.038438,-0.1289,0.270687,0.043183,0.0120154,0.0265331,0.0465936,0.0109954,0.0267552,0.0926239,-0.0290807,0.970356,-0.923930276
864,-0.038018,-0.128819,0.270967,0.0412421,0.00795837,0.0274686,0.0447708,0.00691722,0.0275238,0.0950205,-0.0309179,0.970153,-0.929905711
865,-0.0376293,-0.128782,0.27124,0.0391814,0.00375054,0.0275365,0.0427178,0.00272053,0.0274302,0.094034,-0.0294412,0.970162,-0.935645277
866,-0.0372404,-0.128662,0.271524,0.0387982,0.0119246,0.0282978,0.042429,0.0108715,0.0284884,0.0989196,-0.0236683,0.961605,-0.941147517
867,-0.0368464,-0.128508,0.271816,0.0392659,0.0153845,0.0291395,0.0430002,0.0143095,0.0294463,0.0954845,-0.0169378,0.980648,-0.946411035
868,-0.036376,-0.128444,0.272109,0.0461095,0.00621555,0.0287552,0.0497928,0.00517428,0.0287256,0.0911211,-0.0107289,0.952159,-0.951434497
869,-0.0358853,-0.128352,0.272391,0.049538,0.00932536,0.0284001,0.0531732,0.00830881,0.0284829,0.094996,-0.00444783,0.953241,-0.956216629
870,-0.0353576,-0.12832,0.27267,0.0524005,0.00309804,0.0277017,0.0559455,0.00212489,0.0275663,0.101337,-0.011874,0.954373,-0.960756217
871,-0.0348665,-0.128322,0.272938,0.0489699,-0.000171304,0.0267478,0.0523928,-0.00109595,0.0265058,0.0842294,-0.0114893,0.962765,-0.96505211
872,-0.0344159,-0.12828,0.273187,0.0449501,0.0041476,0.0248095,0.048124,0.00329848,0.0247338,0.0906191,-0.01254,0.973443,-0.969103218
873,-0.0340119,-0.128163,0.273432,0.0402482,0.0116517,0.024457,0.0433741,0.0108201,0.0246386,0.0909103,-0.0155263,0.979997,-0.972908514
874,-0.0336191,-0.12806,0.273653,0.0390715,0.010229,0.0219489,0.0418746,0.00949147,0.0221007,0.0887726,-0.0078725,0.970862,-0.976467033
875,-0.0332241,-0.127991,0.273869,0.0392382,0.00687226,0.021481,0.0419801,0.00616075,0.0215218,0.0907401,-0.00631753,0.956807,-0.979777871
876,-0.0328209,-0.127934,0.274099,0.0400798,0.0056003,0.0228277,0.0429923,0.00485432,0.0228127,0.0851847,-0.0104253,0.961918,-0.98284019
877,-0.0323958,-0.127916,0.274324,0.0424375,0.00185902,0.0225549,0.0453148,0.00113345,0.0224191,0.0912635,-0.0111442,0.953829,-0.985653212
878,-0.0319821,-0.127923,0.274534,0.0411919,-0.000769933,0.0208547,0.0438525,-0.00143095,0.0206491,0.0892064,-0.008848,0.961925,-0.988216224
879,-0.0315907,-0.127881,0.274732,0.0389584,0.00418285,0.0196786,0.0414681,0.00356428,0.0196403,0.0907722,-0.0179378,0.971847,-0.990528575
880,-0.0312453,-0.127842,0.274919,0.0343098,0.00394068,0.0186325,0.0366854,0.00336142,0.0185945,0.0914194,-0.0184345,0.982554,-0.99258968
881,-0.0309006,-0.127809,0.275091,0.034336,0.00323251,0.0171455,0.0365214,0.00270556,0.0170974,0.091222,-0.00736987,0.970775,-0.994399016
882,-0.030528,-0.127762,0.275253,0.0371248,0.00465947,0.0161123,0.0391778,0.00416951,0.0161158,0.0905599,-0.0018478,0.970435,-0.995956123
883,-0.0301024,-0.127797,0.275407,0.0422386,-0.00346179,0.0152716,0.0441849,-0.00391612,0.015036,0.0975932,-0.00253792,0.949264,-0.997260606
884,-0.0296533,-0.127828,0.275555,0.0448044,-0.00312418,0.0147644,0.0466866,-0.00355699,0.0145448,0.0892726,-0.00372877,0.960882,-0.998312135
885,-0.0291412,-0.127795,0.275724,0.042041,0.0026974,0.0139133,0.0438142,0.00229417,0.0138726,0.0890006,-0.00505353,0.95852,-0.999110443
886,-0.028818,-0.127795,0.275816,0.0399339,7.49E-05,0.0113792,0.0413841,-0.000250291,0.0112839,0.0881902,-0.0136664,0.964164,-0.999655327
887,-0.0284782,-0.127786,0.275906,0.0350915,0.000907963,0.0092402,0.0362691,0.000646631,0.00918699,0.094894,-0.0124577,0.966828,-0.99994665
888,-0.0281394,-0.127745,0.276,0.0321849,0.00383916,0.00894832,0.0333249,0.00358792,0.00897991,0.100017,-0.00979758,0.965137,-0.999984337
889,-0.0278164,-0.12768,0.276087,0.0315532,0.00642426,0.00850873,0.0326366,0.00618705,0.00861488,0.0893784,-0.00322286,0.980013,-0.999768379
890,-0.0274875,-0.127644,0.276163,0.0340198,0.00369627,0.00788362,0.0350234,0.00347996,0.00791812,0.0949202,-0.00557853,0.961008,-0.99929883
891,-0.0271343,-0.127591,0.276235,0.03545,0.00526844,0.00721798,0.0363685,0.00507226,0.00729961,0.0985248,1.91E-05,0.957609,-0.99857581
892,-0.0267479,-0.127632,0.276305,0.0385478,-0.0040266,0.00692061,0.0394287,-0.00420874,0.00675417,0.0992467,-0.00937381,0.950245,-0.997599503
893,-0.0263962,-0.127657,0.276353,0.0349707,-0.00247607,0.00481291,0.0355834,-0.0026012,0.00470673,0.0911266,-0.00956365,0.962541,-0.996370154
894,-0.0260692,-0.127645,0.276382,0.0324319,0.00112485,0.00289179,0.0328,0.0010497,0.00289661,0.0950202,-0.0074574,0.9696,-0.994888078
895,-0.0257762,-0.127606,0.276407,0.0291599,0.00388024,0.0024596,0.0294729,0.00381608,0.0025388,0.0950587,-0.00734686,0.981051,-0.993153649
896,-0.0254801,-0.127557,0.276418,0.0295748,0.00489263,0.00111327,0.0297164,0.00486291,0.00122852,0.0982359,-0.00175154,0.977874,-0.991167307
897,-0.0251418,-0.127554,0.276423,0.0335895,0.000317452,0.000511884,0.0336546,0.000304588,0.000515546,0.0958232,0.000313888,0.961357,-0.988929556
898,-0.0247673,-0.1276,0.276437,0.0368171,-0.00449439,0.00132379,0.0369856,-0.00452553,0.00120132,0.091946,-0.00188718,0.962405,-0.986440964
899,-0.02438,-0.127669,0.27644,0.0391087,-0.00696537,0.000335395,0.0391514,-0.00697141,0.000162768,0.0986825,-0.00494717,0.960821,-0.983702163
900,-0.0240155,-0.127714,0.276412,0.0362066,-0.00454304,-0.00284639,0.0358441,-0.00447393,-0.00293148,0.0910199,-0.00404523,0.971328,-0.980713846
901,-0.0236877,-0.127712,0.276379,0.0326601,0.000212949,-0.0032035,0.0322521,0.000288147,-0.00317148,0.0950493,-0.0117948,0.975936,-0.977476771
902,-0.0234102,-0.127698,0.27634,0.0276518,0.00146699,-0.00397222,0.0271459,0.00155881,-0.00390446,0.0937922,-0.0134243,0.986547,-0.973991761
903,-0.0231319,-0.127713,0.276274,0.0275553,-0.00148911,-0.00650056,0.0267273,-0.00133958,-0.00648034,0.0902645,-0.00322839,0.970931,-0.970259698
904,-0.0228484,-0.127714,0.276189,0.0284103,-0.000103075,-0.00849754,0.027328,8.95E-05,-0.00842849,0.0879023,0.00389156,0.968042,-0.96628153
